,chemical_name,pc_code,solubility,ld50_mammal_water,bodyweight_tested_mammal,noael_mammal_water,noael_bodyweight_tested_mammal,ld50_avian_water,bodyweight_tested_bird,mineau_scaling_factor,noaec_duck,noaec_quail,noaec_bird_other_1,bodyweight_bird_other_1,noaec_bird_other_2,bodyweight_bird_other_2
0,Atrazine,80803,35,1869,350,10,350,4237,178,1.15,225,225,,,,
1,Chlorothalonil,81901,0.81,5000,350,3,350,2000,1580,2,10000,153,,,,
2,Chlorpyriphos,59101,1.05,64,350,1,350,13.3,178,2,25,25,,,,
3,Diazinon,57801,60,1139,350,5,350,1.44,1580,1.15,8.3,32,,,,
4,Endosulfan a,79401,0.32,38,350,0.75,350,111,178,1.15,30,64,,,,
5,EPTC,41401,370,916,350,16.3,350,1000,178,2,242,591,,,,
6,Ethoprop,41101,1300,32.9,350,0.1,350,6.04,1580,1.15,40,0.952,,,,
7,Malathion,57701,148,1778,350,34.4,350,359,178,1.15,1200,110,,,,
8,Methamidiphos,101201,200000,30,350,0.1,350,10,1580,2,15,3,,,,
9,Methyl Parathion,53501,55,3,350,0.1,350,1044,178,2,14.7,6.27,,,,
